Image,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
../Split/1.jpg,618,1366,710,1524
../Split/2.jpg,696,1680,696,1681
../Split/3.jpg,884,84,1044,195
../Split/4.jpg,222,799,374,1339
../Split/5.jpg,177,1273,361,1423
../Split/6.jpg,196,409,343,506
../Split/7.jpg,1065,1448,1245,1621
../Split/8.jpg,654,1071,840,1222
../Split/9.jpg,338,733,458,831
../Split/10.jpg,316,721,829,3549
../Split/11.jpg,1162,401,1642,973
../Split/12.jpg,266,315,5209,3097
../Split/13.jpg,527,325,665,445
../Split/14.jpg,697,424,879,596
../Split/15.jpg,-182196,1743,343,446505
