Image,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y,Score
Split\1.jpg,921,1162,1048,1377,0.09241271764039993
Split\10.jpg,805,1133,963,1302,0.08795616775751114
Split\11.jpg,966,989,1217,1225,0.06300565600395203
Split\12.jpg,1116,802,1350,1015,0.08505390584468842
Split\13.jpg,1050,290,1284,503,0.0729469433426857
Split\14.jpg,502,663,755,897,0.059144582599401474
Split\15.jpg,540,637,793,871,0.06344553828239441
Split\2.jpg,1188,59,1390,295,0.062499240040779114
Split\3.jpg,104,320,323,478,0.0724896565079689
Split\4.jpg,241,1383,549,1805,0.045130226761102676
Split\5.jpg,612,1059,934,1294,0.05005379021167755
Split\6.jpg,512,1320,803,1518,0.06780160218477249
Split\7.jpg,1007,1421,1255,1662,0.06925126165151596
Split\8.jpg,536,1401,789,1610,0.06484467536211014
Split\9.jpg,804,1161,1057,1370,0.06706105917692184
